ID,dG0_f_rc,dG0_f_rc_error
C03166,-1156.094895,2.383384576
C03167,-48.74447293,0.108798211
C03178,-16.67169734,0.095155308
C03196,-840.2261394,0.380621231
C03210,-646.6616791,0.548424749
C03232,-1453.185616,0.048522793
C03314,16.67169734,0.095155308
C03341,-70.66040251,0.232394855
C03351,-13.20579153,0.099191697
C03373,171.8116848,0.107609447
C03383,-907.0791456,0.134568506
C03384,-1751.239124,0.07183725
C03394,-1440.125309,0.483289559
C03406,-455.5600968,0.418247905
C03410,-236.5773207,0.101624657
C03440,0.012450489,0.095155308
C03451,-27.79392025,0.085367785
C03459,-8.956153748,0.135948307
C03483,-3675.18043,0.541233082
C03493,-46.74442975,0.02407012
C03506,-1087.625101,0.606973658
C03511,-9.87E-14,9.53E-31
C03521,236.5773207,0.101624657
C03557,48.74447293,0.108798211
C03561,-183.0653756,0.564297278
C03564,200.1613756,0.854295952
C03598,0.338101809,0.095155308
C03599,-0.338101809,0.095155308
C03618,-684.4608664,0.29636413
C03652,-394.7915296,0.217390462
C03656,-60.43638166,0.025371587
C03680,-136.2662429,0.048084856
C03688,7.35E-14,1.09E-30
C03703,-623.8850747,1.350186584
C03794,-1636.620871,0.194862865
C03875,-1.25E-13,8.64E-31
C03912,268.6386107,0.55881368
C03926,22.89581248,0.098589957
C03939,6.87E-14,1.67E-30
C03943,37.46691972,0.08981715
C03981,-787.5202685,0.432007267
C04056,-5.263411821,0.095155308
C04092,19.67276197,0.019895607
C04105,-25.46121262,0.019031062
C04114,177.4998699,0.322338424
C04137,-121.1988823,0.807166627
C04188,-695.1614707,0.124837262
C04246,1.411546288,0.095155308
C04256,-261.5929791,0.149744752
C04257,-264.033454,0.31781127
C04268,50.41334366,0.106933379
C04327,-656.0465196,0.048405457
C04348,-510.9747805,0.456346462
C04367,-24.87489515,0.098589957
C04377,44.1521076,0.117881025
C04421,48.50221751,0.106933379
C04442,-1769.456885,0.244536713
C04462,-48.50221751,0.106933379
C04618,-1.411546288,0.095155308
C04654,9.460993677,0.035153085
C04677,243.3983695,0.10795107
C04688,6.05E-14,1.02E-30
C04734,120.4044658,0.276263022
C04738,4.36E-14,8.67E-31
C04741,-9.460993677,0.035153085
C04751,-171.8116848,0.107609447
C04752,-656.0465196,0.048405457
C04823,-363.8028352,0.25167627
C05268,-93.8555452,0.059374733
C05269,-52.15086016,0.089896733
C05271,146.0064054,0.189649028
C05361,127.9842171,0.380621231
C05382,-1910.334265,0.156722485
C05385,-702.1198223,0.168679889
C05402,-1576.224968,0.23100736
C05403,4.39E-15,1.53E-30
C05437,-3.400882586,0.095155308
C05439,3.400882586,0.095155308
C05512,286.6338933,0.144268611
C05551,103.4312312,0.030734453
C05572,-595.8551328,0.380621231
C05598,-121.4057249,0.178830231
C05662,-279.3104002,0.235871544
C05665,-50.54589188,0.108798211
C05819,-32.78957716,0.095155308
C05922,-1214.654696,0.408325418
C05945,-667.5903809,0.55134923
C05979,-175.8544985,0.380621231
C05984,-506.2992357,0.380621231
C06019,-1746.670939,0.136194397
C06020,-1.43E-14,1.77E-30
C06021,1.50E-13,1.14E-30
C06142,-171.4958317,0.255273998
C06156,-1605.427361,0.373107111
C06159,141.4682387,0.29830336
C06219,-2244.769342,0.709354923
C06255,-460.5888512,0.808354748
C06322,119.4162292,0.102037697
C06463,0.952156945,0.04088154
C06464,3.084860614,0.177623241
C06468,-0.24186003,0.050749497
C06473,-1092.987524,0.431368719
C06547,81.42275074,0.380621231
C06567,2.39E-14,1.11E-30
C06670,-276.4230941,0.380621231
C06749,-119.4162292,0.102037697
C06752,-72.97724926,0.380621231
C06789,27.6,0.380621231
C06790,25.45568769,0.380621231
C06791,32.01137537,0.380621231
C06792,27.81137537,0.380621231
C06793,59.66706306,0.380621231
C06827,46.74442975,0.02407012
C07064,-1576.272855,0.296548337
C07086,17.97449368,0.075023761
C07561,-45.1,0.380621231
C07756,-75.36347707,0.045350088
C07761,75.36347707,0.045350088
C08240,-1586.669718,0.129032603
C08492,-21.60848825,0.098589957
C09306,-300.7,0.380621231
C11143,15.4376,0.095155308
C11355,74.40487255,0.236613353
C11695,98.59255672,0.05185068
C11907,-50.41334366,0.106933379
